row_idx,category,id,owner,title,datetaken,tags,latitude,longitude,place_id,img_id,country_code,country,region,subregion,city,cluster_id,text,entities,scene_pred,viewpoint_pred
10,tower,55022381244,58169312@N06,皇家公主號上的神戶港塔,1767160410,japan japantravel japanlife hyogo kobe kobetower kobeporttower nature landscapes landscape scenery hdr tower ocean sea architecture bay kobebaycruise baycruise americanpark mosaic nikon z63 z6iii z35mmf18s bokeh nippon nihon winter 日本 日本旅行 日本生活 自助旅行 家庭 風景 兵庫縣 神戶市 神戶 神戶港塔 神戶港 美利堅公園 馬賽克廣場 神戸ポートタワー 神戸ベイクルーズ ロイヤルプリンセス 港口 bekobe 自然 建築 遊船 尼康 無反 無反相機 大光圈 定焦鏡 隨拍 街拍 snapshot 高動態範圍 光影 陽光 光線 happynewyear,34.681794,135.185897,,tower-34.681794-135.185897-1767160410-58169312@N06-55022381244-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,皇家公主號上的神戶港塔 japan japantravel japanlife hyogo kobe kobetower kobeporttower nature landscapes landscape scenery hdr tower ocean sea architecture bay kobebaycruise baycruise americanpark mosaic nikon z63 z6iii z35mmf18s bokeh nippon nihon winter 日本 日本旅行 日本生活 自助旅行 家庭 風景 兵庫縣 神戶市 神戶 神戶港塔 神戶港 美利堅公園 馬賽克廣場 神戸ポートタワー 神戸ベイクルーズ ロイヤルプリンセス 港口 bekobe 自然 建築 遊船 尼康 無反 無反相機 大光圈 定焦鏡 隨拍 街拍 snapshot 高動態範圍 光影 陽光 光線 happynewyear,"",indoor,ground
11,tower,54885937455,64453831@N08,Osaka   |   Transformer Redux,1728798144,umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz2470mmf4s 2024,34.704073,135.489975,,tower-34.704073-135.489975-1728798144-64453831@N08-54885937455-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka   |   Transformer Redux umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz2470mmf4s 2024,"",outdoor,aerial
12,tower,54831572319,197044297@N06,Umeda Sky Building at Night: Upward Gaze,1753016251,architectural architecturalmarvel circularopening elevator escalator futuristic highrisebuilding imposing japan kitaku majestic nightsky osaka skyscraper steelstructure twintowers umeda umedaskybuilding urban urbanskyline bridge cityatnight cityscape cloudy concrete dramatic glassfacade grand lighting modern modernarchitecture observatory osakashi,34.705111,135.490344,,tower-34.705111-135.490344-1753016251-197044297@N06-54831572319-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building at Night: Upward Gaze architectural architecturalmarvel circularopening elevator escalator futuristic highrisebuilding imposing japan kitaku majestic nightsky osaka skyscraper steelstructure twintowers umeda umedaskybuilding urban urbanskyline bridge cityatnight cityscape cloudy concrete dramatic glassfacade grand lighting modern modernarchitecture observatory osakashi,umeda sky building,outdoor,ground
13,tower,54825019368,197044297@N06,"Night View from Umeda Sky Building Observatory, Osaka",1753014764,aweinspiring calm futuristic highrisebuilding impressive japan kuchuteienobservatory nocturnal observing osaka railings sightseeing skyscraper tourism umeda umedaskybuilding urban vast visitors bus cars city cityscape clouds cloudy crowd glasspanels individuals lights modern modernarchitecture night nightview observatory panoramicview planters pottedplants sky skyline tourists urbanarea urbanlandscape viewing walking windows,34.705119,135.490216,,tower-34.705119-135.490216-1753014764-197044297@N06-54825019368-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,"Night View from Umeda Sky Building Observatory, Osaka aweinspiring calm futuristic highrisebuilding impressive japan kuchuteienobservatory nocturnal observing osaka railings sightseeing skyscraper tourism umeda umedaskybuilding urban vast visitors bus cars city cityscape clouds cloudy crowd glasspanels individuals lights modern modernarchitecture night nightview observatory panoramicview planters pottedplants sky skyline tourists urbanarea urbanlandscape viewing walking windows",umeda sky building observatory,outdoor,aerial
14,tower,54822637429,197044297@N06,Osaka City Nightscape from Above,1753014599,citylights highrisebuilding japan nocturnal osaka skyscraper urban urbanlife buildinglights bustling car cityviewing cityscape cloudy expansive highway infrastructure nightview officebuilding overcast panoramicview residentialbuilding road skyline streetlights train urbanlandscape vibrant osakashi,34.705119,135.490216,,tower-34.705119-135.490216-1753014599-197044297@N06-54822637429-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka City Nightscape from Above citylights highrisebuilding japan nocturnal osaka skyscraper urban urbanlife buildinglights bustling car cityviewing cityscape cloudy expansive highway infrastructure nightview officebuilding overcast panoramicview residentialbuilding road skyline streetlights train urbanlandscape vibrant osakashi,"highrisebuilding,skyscraper",outdoor,aerial
15,tower,54819875519,197044297@N06,Osaka Skyscraper Under Cloudy Sky,1753012342,glassbuilding imposing japan mysterious osaka skyscraper urban buildinglights cityscape clouds cloudy dramatic glassfacade modern modernbuilding nightscene officebuilding overcast sky urbanlandscape windows osakashi,34.705116,135.490555,,tower-34.705116-135.490555-1753012342-197044297@N06-54819875519-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka Skyscraper Under Cloudy Sky glassbuilding imposing japan mysterious osaka skyscraper urban buildinglights cityscape clouds cloudy dramatic glassfacade modern modernbuilding nightscene officebuilding overcast sky urbanlandscape windows osakashi,"osaka skyscraper,skyscraper",outdoor,aerial
16,tower,54743663565,64453831@N08,Osaka   |   Umeda Sky Views,1728796001,cityscape urban sprawl skyline view vista river yodoriver 淀川 umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz70180mmf28 2024,34.704073,135.489975,,tower-34.704073-135.489975-1728796001-64453831@N08-54743663565-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka   |   Umeda Sky Views cityscape urban sprawl skyline view vista river yodoriver 淀川 umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz70180mmf28 2024,"",outdoor,aerial
17,tower,54637915200,14317281@N06,Umeda Sky Building,1732842063,copyright eosr7 sigma18300mm sigma1770mm canon sigma donotcopy armondnetherlyphotography photoshopelements japan fall2024 autumn lexar mavenfilter umedasky skyscraper osaka building clods sky trees,34.705802,135.490629,,tower-34.705802-135.490629-1732842063-14317281@N06-54637915200-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building copyright eosr7 sigma18300mm sigma1770mm canon sigma donotcopy armondnetherlyphotography photoshopelements japan fall2024 autumn lexar mavenfilter umedasky skyscraper osaka building clods sky trees,umeda sky building,outdoor,ground
18,tower,54447061963,64453831@N08,Osaka   |   Umeda Sky Buidling,1728792863,umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz2470mmf4s 2024,34.704073,135.489975,,tower-34.704073-135.489975-1728792863-64453831@N08-54447061963-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka   |   Umeda Sky Buidling umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz2470mmf4s 2024,"",outdoor,ground
19,tower,54438388739,64453831@N08,Osaka   |   Umeda,1728796282,skyscraper tower building view umedaskybuilding 梅田スカイビル umedasky landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz70180mmf28 2024,34.704073,135.489975,,tower-34.704073-135.489975-1728796282-64453831@N08-54438388739-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka   |   Umeda skyscraper tower building view umedaskybuilding 梅田スカイビル umedasky landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz70180mmf28 2024,"",outdoor,aerial
20,tower,54282860694,64453831@N08,Osaka   |   Sprawl,1728797012,cityscape urban sprawl skyline view vista airport osakainternationalairport itami bullettrain shinkansen shinosaka 新大阪駅 umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz70180mmf28 2024,34.704073,135.489975,,tower-34.704073-135.489975-1728797012-64453831@N08-54282860694-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka   |   Sprawl cityscape urban sprawl skyline view vista airport osakainternationalairport itami bullettrain shinkansen shinosaka 新大阪駅 umedaskybuilding 梅田スカイビル umedasky skyscraper tower building landmark architecture umeda 梅田 kita 北区 osaka 大阪市 osakaprefecture 大阪府 kansai 関西地方 honshu 本州 japan 日本 nikon z6ii nikonz6ii nikkorz70180mmf28 2024,"",outdoor,aerial
21,tower,54078735191,201312509@N05,Umeda sky escalator,1700191723,umeda tokyo skyscraper escalator fujifilm xt30,34.705241,135.490112,,tower-34.705241-135.490112-1700191723-201312509@N05-54078735191-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda sky escalator umeda tokyo skyscraper escalator fujifilm xt30,"",indoor,aerial
22,tower,53920473886,24400341@N08,Umeda Sky Building Osaka,1723522862,osaka japan nippon skyscraper,34.705502,135.489958,,tower-34.705502-135.489958-1723522862-24400341@N08-53920473886-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,aerial
23,tower,53920926785,24400341@N08,Umeda Sky Building Osaka,1723527179,osaka japan nippon skyscraper,34.705441,135.489975,,tower-34.705441-135.489975-1723527179-24400341@N08-53920926785-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,aerial
24,tower,53920828594,24400341@N08,Umeda Sky Building Osaka,1723527489,osaka japan nippon skyscraper,34.705344,135.490127,,tower-34.705344-135.490127-1723527489-24400341@N08-53920828594-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,aerial
25,tower,53920473411,24400341@N08,Umeda Sky Building Osaka,1723528283,osaka japan nippon skyscraper,34.705402,135.490036,,tower-34.705402-135.490036-1723528283-24400341@N08-53920473411-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,aerial
26,tower,53919587777,24400341@N08,Umeda Sky Building Osaka,1723522451,osaka japan nippon skyscraper,34.705433,135.490294,,tower-34.705433-135.490294-1723522451-24400341@N08-53919587777-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,ground
27,tower,53920926450,24400341@N08,Umeda Sky Building Osaka,1723521449,osaka japan nippon skyscraper,34.70523,135.489958,,tower-34.705230-135.489958-1723521449-24400341@N08-53920926450-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,ground
28,tower,53920926380,24400341@N08,Umeda Sky Building Osaka,1723528934,osaka japan nippon skyscraper,34.705269,135.489988,,tower-34.705269-135.489988-1723528934-24400341@N08-53920926380-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,aerial
29,tower,53920926255,24400341@N08,Umeda Sky Building Osaka,1723524661,osaka japan nippon skyscraper,34.706127,135.490111,,tower-34.706127-135.490111-1723524661-24400341@N08-53920926255-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,ground
30,tower,53920828189,24400341@N08,Umeda Sky Building Osaka,1723527237,osaka japan nippon skyscraper,34.705338,135.490127,,tower-34.705338-135.490127-1723527237-24400341@N08-53920828189-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,aerial
31,tower,53920926095,24400341@N08,Umeda Sky Building Osaka,1723528299,osaka japan nippon skyscraper,34.705455,135.490111,,tower-34.705455-135.490111-1723528299-24400341@N08-53920926095-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,aerial
32,tower,53920828079,24400341@N08,Umeda Sky Building Osaka,1723527751,osaka japan nippon skyscraper,34.705441,135.490294,,tower-34.705441-135.490294-1723527751-24400341@N08-53920828079-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,aerial
33,tower,53920828099,24400341@N08,Umeda Sky Building Osaka,1723520968,osaka japan nippon skyscraper,34.704952,135.490036,,tower-34.704952-135.490036-1723520968-24400341@N08-53920828099-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,aerial
34,tower,53920472726,24400341@N08,Umeda Sky Building Osaka,1723522481,osaka japan nippon skyscraper,34.705452,135.490263,,tower-34.705452-135.490263-1723522481-24400341@N08-53920472726-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,aerial
35,tower,53920827924,24400341@N08,Umeda Sky Building Osaka,1723522691,osaka japan nippon skyscraper,34.705527,135.490202,,tower-34.705527-135.490202-1723522691-24400341@N08-53920827924-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,aerial
36,tower,53919587132,24400341@N08,Umeda Sky Building Osaka,1723529088,osaka japan nippon skyscraper,34.704863,135.489975,,tower-34.704863-135.489975-1723529088-24400341@N08-53919587132-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,outdoor,aerial
37,tower,53920729043,24400341@N08,Umeda Sky Building Osaka,1723521461,osaka japan nippon skyscraper,34.705166,135.489472,,tower-34.705166-135.489472-1723521461-24400341@N08-53920729043-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,ground
38,tower,53920729013,24400341@N08,Umeda Sky Building Osaka,1723527136,osaka japan nippon skyscraper,34.705344,135.490127,,tower-34.705344-135.490127-1723527136-24400341@N08-53920729013-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,ground
39,tower,53920472081,24400341@N08,Umeda Sky Building Osaka,1723528924,osaka japan nippon skyscraper,34.705219,135.489958,,tower-34.705219-135.489958-1723528924-24400341@N08-53920472081-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building Osaka osaka japan nippon skyscraper,umeda sky building,indoor,aerial
40,tower,53768620293,42187153@N03,Osaka Skyscrapers,1716192986,asia giappone osaka prefetturadiosaka skyscraper city cityscape skyline sunset,34.705558,135.490111,,tower-34.705558-135.490111-1716192986-42187153@N03-53768620293-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka Skyscrapers asia giappone osaka prefetturadiosaka skyscraper city cityscape skyline sunset,"",outdoor,aerial
41,tower,53744370799,167159784@N04,KOBE,1716583816,kobe port tower japan 神戸 ポートタワー,34.680722,135.184534,,tower-34.680722-135.184534-1716583816-167159784@N04-53744370799-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,2,KOBE kobe port tower japan 神戸 ポートタワー,kobe port tower,outdoor,aerial
42,tower,53733366811,194968983@N04,Abenddämmerung über Osaka,1509412884,osaka umeda sky building japan skyscraper hochhaus architektur architekturfotografie architecture dusk dämmerung nikon d850 nikonfotografie travelblogger wolkenkratzer asien asia sunset,34.705325,135.490103,,tower-34.705325-135.490103-1509412884-194968983@N04-53733366811-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Abenddämmerung über Osaka osaka umeda sky building japan skyscraper hochhaus architektur architekturfotografie architecture dusk dämmerung nikon d850 nikonfotografie travelblogger wolkenkratzer asien asia sunset,"",outdoor,aerial
43,tower,53333795796,31676563@N05,0L7A3568,1700032479,architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 skyscraper 高層ビル,34.705281,135.489985,,tower-34.705281-135.489985-1700032479-31676563@N05-53333795796-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,0L7A3568 architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 skyscraper 高層ビル,"",indoor,ground
44,tower,53334252400,31676563@N05,Umeda Sky Building,1700032426,architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 skyscraper 高層ビル,34.705281,135.489985,,tower-34.705281-135.489985-1700032426-31676563@N05-53334252400-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 skyscraper 高層ビル,"",indoor,ground
45,tower,53334202260,31676563@N05,Osaka city,1700035481,architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 skyscraper 高層ビル,34.705281,135.489985,,tower-34.705281-135.489985-1700035481-31676563@N05-53334202260-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka city architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 skyscraper 高層ビル,"",outdoor,aerial
46,tower,53333555311,31676563@N05,Osaka Umeda Sky Building,1700034964,architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 高層ビル skyscraper,34.705281,135.489985,,tower-34.705281-135.489985-1700034964-31676563@N05-53333555311-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka Umeda Sky Building architecture building construction umedaskybuilding osaka japan japon umeda kansai night 梅田スカイビル 空中庭園 大阪 梅田 日本 高層ビル skyscraper,"",outdoor,aerial
47,tower,52985238092,143073636@N03,Kobe Port Tower (神戸ポートタワー),1538025066,kobe port tower 神戸ポートタワー 日本 神戸 兵庫,34.682583,135.187102,,tower-34.682583-135.187102-1538025066-143073636@N03-52985238092-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Kobe Port Tower (神戸ポートタワー) kobe port tower 神戸ポートタワー 日本 神戸 兵庫,"kobe port tower,神戸ホートタワー,kobe port tower,神戸ホートタワー",outdoor,ground
48,tower,52986302928,143073636@N03,Kobe Port Tower (神戸ポートタワー),1538025543,kobe port tower 神戸ポートタワー 日本 神戸 兵庫,34.682444,135.187027,,tower-34.682444-135.187027-1538025543-143073636@N03-52986302928-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Kobe Port Tower (神戸ポートタワー) kobe port tower 神戸ポートタワー 日本 神戸 兵庫,"kobe port tower,神戸ホートタワー,kobe port tower,神戸ホートタワー",outdoor,aerial
49,tower,52985837866,143073636@N03,Kobe Port Tower (神戸ポートタワー),1538025682,kobe port tower 神戸ポートタワー 日本 神戸 兵庫,34.682788,135.186888,,tower-34.682788-135.186888-1538025682-143073636@N03-52985837866-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Kobe Port Tower (神戸ポートタワー) kobe port tower 神戸ポートタワー 日本 神戸 兵庫,"kobe port tower,神戸ホートタワー,kobe port tower,神戸ホートタワー",outdoor,aerial
50,tower,52986214400,143073636@N03,Kobe Port Tower (神戸ポートタワー),1538025617,kobe port tower 神戸ポートタワー 日本 神戸 兵庫,34.682922,135.186888,,tower-34.682922-135.186888-1538025617-143073636@N03-52986214400-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Kobe Port Tower (神戸ポートタワー) kobe port tower 神戸ポートタワー 日本 神戸 兵庫,"kobe port tower,神戸ホートタワー,kobe port tower,神戸ホートタワー",indoor,ground
51,tower,52986302443,143073636@N03,Kobe Port Tower (神戸ポートタワー),1538025933,kobe port tower 神戸ポートタワー 日本 神戸 兵庫,34.682111,135.186158,,tower-34.682111-135.186158-1538025933-143073636@N03-52986302443-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Kobe Port Tower (神戸ポートタワー) kobe port tower 神戸ポートタワー 日本 神戸 兵庫,"kobe port tower,神戸ホートタワー,kobe port tower,神戸ホートタワー",outdoor,aerial
52,tower,52986302153,143073636@N03,Kobe Port Tower (神戸ポートタワー),1538026041,kobe port tower 神戸ポートタワー 日本 神戸 兵庫,34.68275,135.186858,,tower-34.682750-135.186858-1538026041-143073636@N03-52986302153-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Kobe Port Tower (神戸ポートタワー) kobe port tower 神戸ポートタワー 日本 神戸 兵庫,"kobe port tower,神戸ホートタワー,kobe port tower,神戸ホートタワー",outdoor,aerial
