row_idx,category,id,owner,datetaken,title,tags,latitude,longitude,place_id,url_n,img_id,text,country_code,country,region,subregion,city,cluster_id,entities
10,monument_statue,55049667079,90952376@N00,1765516786,20251212_141946_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089738,131.762374,,https://live.staticflickr.com/65535/55049667079_9880d45455_n.jpg,monument_statue-33.089738-131.762374-1765516786-90952376@N00-55049667079-n.jpg,20251212_141946_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
11,monument_statue,55049751935,90952376@N00,1765516674,20251212_141754_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089727,131.762402,,https://live.staticflickr.com/65535/55049751935_b3b53d4c69_n.jpg,monument_statue-33.089727-131.762402-1765516674-90952376@N00-55049751935-n.jpg,20251212_141754_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
12,monument_statue,55049751745,90952376@N00,1765516516,20251212_141516_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.090263,131.762602,,https://live.staticflickr.com/65535/55049751745_7b46331a23_n.jpg,monument_statue-33.090263-131.762602-1765516516-90952376@N00-55049751745-n.jpg,20251212_141516_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
13,monument_statue,55048506062,90952376@N00,1765516406,20251212_141326_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.090447,131.762608,,https://live.staticflickr.com/65535/55048506062_027ab4ef5c_n.jpg,monument_statue-33.090447-131.762608-1765516406-90952376@N00-55048506062-n.jpg,20251212_141326_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
14,monument_statue,36506117340,33057199@N03,1481694737,Usuki Stone Buddhas,horizontal outdoors statue stone buddha lava carving eroded restored colour color winter travel travelling december 2016 vacation canon 5d mkii camera photography usuki kyushu island japan asia volcanicash lavatuff nationaltreasure oitaprefecture oitaprefeture usukisekibutsu usukistonebuddhas nopeople statues row focus dof perspective buddhism depthoffield shallow backgroundblur amidanyorai ninestatues face colorful painted amitahba heianperiod hoki2ndcluster carved instone,33.090086,131.7627,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/4394/36506117340_56c6c760e6_n.jpg,monument_statue-33.090086-131.762700-1481694737-33057199@N03-36506117340-n.jpg,Usuki Stone Buddhas horizontal outdoors statue stone buddha lava carving eroded restored colour color winter travel travelling december 2016 vacation canon 5d mkii camera photography usuki kyushu island japan asia volcanicash lavatuff nationaltreasure oitaprefecture oitaprefeture usukisekibutsu usukistonebuddhas nopeople statues row focus dof perspective buddhism depthoffield shallow backgroundblur amidanyorai ninestatues face colorful painted amitahba heianperiod hoki2ndcluster carved instone,JP,Japan,Asia,Eastern Asia,Usuki,0,""
15,monument_statue,36068581974,33057199@N03,1481696801,Camouflage,horizontal outdoors statue stone buddha lava carving eroded restored colour color winter travel travelling december 2016 vacation canon 5d mkii camera photography usuki kyushu island japan asia volcanicash lavatuff nationaltreasure oitaprefecture oitaprefeture usukisekibutsu usukistonebuddhas heianperiod hoki2ndcluster people oneperson man japanese old tourist photo photograph shootingphoto amidanyorai amitahba buddhism celestialbuddha threestatues carved instone,33.0901,131.762708,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/4403/36068581974_c0c6458d78_n.jpg,monument_statue-33.090100-131.762708-1481696801-33057199@N03-36068581974-n.jpg,Camouflage horizontal outdoors statue stone buddha lava carving eroded restored colour color winter travel travelling december 2016 vacation canon 5d mkii camera photography usuki kyushu island japan asia volcanicash lavatuff nationaltreasure oitaprefecture oitaprefeture usukisekibutsu usukistonebuddhas heianperiod hoki2ndcluster people oneperson man japanese old tourist photo photograph shootingphoto amidanyorai amitahba buddhism celestialbuddha threestatues carved instone,JP,Japan,Asia,Eastern Asia,Usuki,0,""
16,monument_statue,36068562204,33057199@N03,1481696326,Stoned,horizontal outdoors statue stone buddha lava carving eroded restored colour color winter travel travelling december 2016 vacation canon 5d mkii camera photography usuki kyushu island japan asia volcanicash lavatuff nationaltreasure oitaprefecture oitaprefeture usukisekibutsu usukistonebuddhas insense insensestick smoke burning dof depthoffield focusinforeground backgroundblur focus shallow dainichinyorai vairocana buddhism furozonosekibutsu nopeople heianperiod carved instone,33.089555,131.763394,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/4356/36068562204_2e42a8ac2b_n.jpg,monument_statue-33.089555-131.763394-1481696326-33057199@N03-36068562204-n.jpg,Stoned horizontal outdoors statue stone buddha lava carving eroded restored colour color winter travel travelling december 2016 vacation canon 5d mkii camera photography usuki kyushu island japan asia volcanicash lavatuff nationaltreasure oitaprefecture oitaprefeture usukisekibutsu usukistonebuddhas insense insensestick smoke burning dof depthoffield focusinforeground backgroundblur focus shallow dainichinyorai vairocana buddhism furozonosekibutsu nopeople heianperiod carved instone,JP,Japan,Asia,Eastern Asia,Usuki,0,""
17,monument_statue,14239241576,56306720@N08,1361499608,DSCN5431,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5031/14239241576_070f5eb3c3_n.jpg,monument_statue-33.089932-131.762316-1361499608-56306720@N08-14239241576-n.jpg,DSCN5431 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
18,monument_statue,14262358875,56306720@N08,1361499629,DSCN5432,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3817/14262358875_c9320e5495_n.jpg,monument_statue-33.089932-131.762316-1361499629-56306720@N08-14262358875-n.jpg,DSCN5432 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
19,monument_statue,14239240536,56306720@N08,1361499656,DSCN5433,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5505/14239240536_928874dcd0_n.jpg,monument_statue-33.089932-131.762316-1361499656-56306720@N08-14239240536-n.jpg,DSCN5433 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
20,monument_statue,14239239716,56306720@N08,1361499678,DSCN5434,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5120/14239239716_0c3db7bbe6_n.jpg,monument_statue-33.089932-131.762316-1361499678-56306720@N08-14239239716-n.jpg,DSCN5434 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
21,monument_statue,14075786927,56306720@N08,1361499696,DSCN5435,大分 国宝 臼杵 臼杵石仏,33.089605,131.763241,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3683/14075786927_5006213590_n.jpg,monument_statue-33.089605-131.763241-1361499696-56306720@N08-14075786927-n.jpg,DSCN5435 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
22,monument_statue,14075740090,56306720@N08,1361499724,DSCN5436,大分 国宝 臼杵 臼杵石仏,33.089686,131.763177,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2915/14075740090_72616ae60a_n.jpg,monument_statue-33.089686-131.763177-1361499724-56306720@N08-14075740090-n.jpg,DSCN5436 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
23,monument_statue,14075739900,56306720@N08,1361499761,DSCN5437,大分 国宝 臼杵 臼杵石仏,33.089516,131.763575,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3672/14075739900_6c1f26d795_n.jpg,monument_statue-33.089516-131.763575-1361499761-56306720@N08-14075739900-n.jpg,DSCN5437 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
24,monument_statue,14261964974,56306720@N08,1361499815,DSCN5438,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2906/14261964974_71642e7171_n.jpg,monument_statue-33.089932-131.762316-1361499815-56306720@N08-14261964974-n.jpg,DSCN5438 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
25,monument_statue,14261963924,56306720@N08,1361499843,DSCN5439,大分 国宝 臼杵 臼杵石仏,33.089241,131.763055,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2897/14261963924_8ea98c27d2_n.jpg,monument_statue-33.089241-131.763055-1361499843-56306720@N08-14261963924-n.jpg,DSCN5439 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
26,monument_statue,14239236346,56306720@N08,1361499887,DSCN5440,大分 国宝 臼杵 臼杵石仏,33.089241,131.763055,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3760/14239236346_96f1a05edb_n.jpg,monument_statue-33.089241-131.763055-1361499887-56306720@N08-14239236346-n.jpg,DSCN5440 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
27,monument_statue,14262353645,56306720@N08,1361499924,DSCN5441,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2922/14262353645_5a14b3b101_n.jpg,monument_statue-33.089932-131.762316-1361499924-56306720@N08-14262353645-n.jpg,DSCN5441 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
28,monument_statue,14260212732,56306720@N08,1361498648,DSCN5404,大分 国宝 臼杵 臼杵石仏,33.089663,131.762994,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3815/14260212732_568093d23b_n.jpg,monument_statue-33.089663-131.762994-1361498648-56306720@N08-14260212732-n.jpg,DSCN5404 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
29,monument_statue,14239235606,56306720@N08,1361499958,DSCN5442,大分 国宝 臼杵 臼杵石仏,33.08905,131.763522,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3690/14239235606_a7619f6644_n.jpg,monument_statue-33.089050-131.763522-1361499958-56306720@N08-14239235606-n.jpg,DSCN5442 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
30,monument_statue,14075710198,56306720@N08,1361497279,DSCN5368,大分 国宝 臼杵 臼杵石仏,33.089959,131.76253,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2940/14075710198_48980fdc67_n.jpg,monument_statue-33.089959-131.762530-1361497279-56306720@N08-14075710198-n.jpg,DSCN5368 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
31,monument_statue,14259032441,56306720@N08,1361498676,DSCN5405,大分 国宝 臼杵 臼杵石仏,33.089688,131.762888,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2937/14259032441_709f27a5bb_n.jpg,monument_statue-33.089688-131.762888-1361498676-56306720@N08-14259032441-n.jpg,DSCN5405 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
32,monument_statue,14075782267,56306720@N08,1361499992,DSCN5443,大分 国宝 臼杵 臼杵石仏,33.089552,131.763527,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3781/14075782267_5fa4767c8c_n.jpg,monument_statue-33.089552-131.763527-1361499992-56306720@N08-14075782267-n.jpg,DSCN5443 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
33,monument_statue,14262352355,56306720@N08,1361497298,DSCN5369,大分 国宝 臼杵 臼杵石仏,33.090013,131.762222,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3799/14262352355_7cbcc21724_n.jpg,monument_statue-33.090013-131.762222-1361497298-56306720@N08-14262352355-n.jpg,DSCN5369 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
34,monument_statue,14075695329,56306720@N08,1361498698,DSCN5406,大分 国宝 臼杵 臼杵石仏,33.089638,131.762747,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2915/14075695329_35d967fec3_n.jpg,monument_statue-33.089638-131.762747-1361498698-56306720@N08-14075695329-n.jpg,DSCN5406 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
35,monument_statue,14075735990,56306720@N08,1361497322,DSCN5370,大分 国宝 臼杵 臼杵石仏,33.089805,131.762158,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3677/14075735990_bf12b0004f_n.jpg,monument_statue-33.089805-131.762158-1361497322-56306720@N08-14075735990-n.jpg,DSCN5370 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
36,monument_statue,14260211262,56306720@N08,1361498729,DSCN5407,大分 国宝 臼杵 臼杵石仏,33.089702,131.762494,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3757/14260211262_7a88876de8_n.jpg,monument_statue-33.089702-131.762494-1361498729-56306720@N08-14260211262-n.jpg,DSCN5407 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
37,monument_statue,14260211042,56306720@N08,1361500019,DSCN5444,大分 国宝 臼杵 臼杵石仏,33.089722,131.762969,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5311/14260211042_f02d6d8ae6_n.jpg,monument_statue-33.089722-131.762969-1361500019-56306720@N08-14260211042-n.jpg,DSCN5444 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
38,monument_statue,14282515593,56306720@N08,1361500340,DSCN5445,大分 国宝 臼杵 臼杵石仏,33.089694,131.762561,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3747/14282515593_5683fa56c1_n.jpg,monument_statue-33.089694-131.762561-1361500340-56306720@N08-14282515593-n.jpg,DSCN5445 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
39,monument_statue,14260210382,56306720@N08,1361497376,DSCN5372,大分 国宝 臼杵 臼杵石仏,33.089794,131.762136,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3819/14260210382_434a600272_n.jpg,monument_statue-33.089794-131.762136-1361497376-56306720@N08-14260210382-n.jpg,DSCN5372 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
40,monument_statue,14261960004,56306720@N08,1361498788,DSCN5409,大分 国宝 臼杵 臼杵石仏,33.089613,131.762716,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2912/14261960004_1b61916dc0_n.jpg,monument_statue-33.089613-131.762716-1361498788-56306720@N08-14261960004-n.jpg,DSCN5409 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
41,monument_statue,14075734710,56306720@N08,1361497403,DSCN5373,大分 国宝 臼杵 臼杵石仏,33.089827,131.762147,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5542/14075734710_5844a49392_n.jpg,monument_statue-33.089827-131.762147-1361497403-56306720@N08-14075734710-n.jpg,DSCN5373 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
42,monument_statue,14282515083,56306720@N08,1361500368,DSCN5446,大分 国宝 臼杵 臼杵石仏,33.0897,131.762483,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5071/14282515083_4bcbd7956b_n.jpg,monument_statue-33.089700-131.762483-1361500368-56306720@N08-14282515083-n.jpg,DSCN5446 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
43,monument_statue,14261959654,56306720@N08,1361498816,DSCN5410,大分 国宝 臼杵 臼杵石仏,33.089613,131.762716,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2930/14261959654_d935f32382_n.jpg,monument_statue-33.089613-131.762716-1361498816-56306720@N08-14261959654-n.jpg,DSCN5410 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
44,monument_statue,14075707348,56306720@N08,1361497426,DSCN5374,大分 国宝 臼杵 臼杵石仏,33.089875,131.76218,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5116/14075707348_e61b82c23b_n.jpg,monument_statue-33.089875-131.762180-1361497426-56306720@N08-14075707348-n.jpg,DSCN5374 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
45,monument_statue,14239232746,56306720@N08,1361500391,DSCN5447,大分 国宝 臼杵 臼杵石仏,33.089986,131.762552,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3720/14239232746_680551811c_n.jpg,monument_statue-33.089986-131.762552-1361500391-56306720@N08-14239232746-n.jpg,DSCN5447 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
46,monument_statue,14075779617,56306720@N08,1361500425,DSCN5448,大分 国宝 臼杵 臼杵石仏,33.089986,131.762552,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5318/14075779617_6963cce68e_n.jpg,monument_statue-33.089986-131.762552-1361500425-56306720@N08-14075779617-n.jpg,DSCN5448 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
47,monument_statue,14282514243,56306720@N08,1361497447,DSCN5375,大分 国宝 臼杵 臼杵石仏,33.089872,131.762233,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3677/14282514243_0fdb399054_n.jpg,monument_statue-33.089872-131.762233-1361497447-56306720@N08-14282514243-n.jpg,DSCN5375 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
48,monument_statue,14259028891,56306720@N08,1361498869,DSCN5412,大分 国宝 臼杵 臼杵石仏,33.090091,131.763427,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5037/14259028891_89a24ca65c_n.jpg,monument_statue-33.090091-131.763427-1361498869-56306720@N08-14259028891-n.jpg,DSCN5412 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
49,monument_statue,14239231836,56306720@N08,1361497470,DSCN5376,大分 国宝 臼杵 臼杵石仏,33.089855,131.762325,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3752/14239231836_e7a37387c3_n.jpg,monument_statue-33.089855-131.762325-1361497470-56306720@N08-14239231836-n.jpg,DSCN5376 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
50,monument_statue,14261957974,56306720@N08,1361500458,DSCN5449,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2898/14261957974_3e317637d5_n.jpg,monument_statue-33.089932-131.762316-1361500458-56306720@N08-14261957974-n.jpg,DSCN5449 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
51,monument_statue,14261957804,56306720@N08,1361498897,DSCN5413,大分 国宝 臼杵 臼杵石仏,33.090216,131.762969,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3804/14261957804_bff85a89fd_n.jpg,monument_statue-33.090216-131.762969-1361498897-56306720@N08-14261957804-n.jpg,DSCN5413 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
52,monument_statue,14239231596,56306720@N08,1361497490,DSCN5377,大分 国宝 臼杵 臼杵石仏,33.089875,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2938/14239231596_e82185869f_n.jpg,monument_statue-33.089875-131.762316-1361497490-56306720@N08-14239231596-n.jpg,DSCN5377 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
53,monument_statue,14075691929,56306720@N08,1361500480,DSCN5450,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2916/14075691929_89771e8f36_n.jpg,monument_statue-33.089932-131.762316-1361500480-56306720@N08-14075691929-n.jpg,DSCN5450 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
54,monument_statue,14262348285,56306720@N08,1361498934,DSCN5414,大分 国宝 臼杵 臼杵石仏,33.090216,131.762969,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5588/14262348285_8819535b63_n.jpg,monument_statue-33.090216-131.762969-1361498934-56306720@N08-14262348285-n.jpg,DSCN5414 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
55,monument_statue,14239231216,56306720@N08,1361497516,DSCN5378,大分 国宝 臼杵 臼杵石仏,33.089902,131.762297,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5545/14239231216_9aa6935eef_n.jpg,monument_statue-33.089902-131.762297-1361497516-56306720@N08-14239231216-n.jpg,DSCN5378 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
56,monument_statue,14262347845,56306720@N08,1361500513,DSCN5451,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2920/14262347845_7e0c32493b_n.jpg,monument_statue-33.089932-131.762316-1361500513-56306720@N08-14262347845-n.jpg,DSCN5451 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
57,monument_statue,14075777907,56306720@N08,1361497544,DSCN5379,大分 国宝 臼杵 臼杵石仏,33.089669,131.76243,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/3682/14075777907_1e6a69d306_n.jpg,monument_statue-33.089669-131.762430-1361497544-56306720@N08-14075777907-n.jpg,DSCN5379 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
58,monument_statue,14075704808,56306720@N08,1361498967,DSCN5415,大分 国宝 臼杵 臼杵石仏,33.089959,131.76253,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/2901/14075704808_8e96fdf3f0_n.jpg,monument_statue-33.089959-131.762530-1361498967-56306720@N08-14075704808-n.jpg,DSCN5415 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
59,monument_statue,14261956464,56306720@N08,1361500540,DSCN5452,大分 国宝 臼杵 臼杵石仏,33.089932,131.762316,Ac.Ufh5QU7ukFQd1,https://live.staticflickr.com/5494/14261956464_597620aca8_n.jpg,monument_statue-33.089932-131.762316-1361500540-56306720@N08-14261956464-n.jpg,DSCN5452 大分 国宝 臼杵 臼杵石仏,JP,Japan,Asia,Eastern Asia,Usuki,0,""
